energy x y z iso x_broadened y_broadened z_broadened iso_broadened
-1.937999999999999901e+01 4.457565280621055299e-06 4.457565280621055299e-06 4.458455752716313917e-06 4.457862104652807325e-06 2.951108670406123400e-05 2.951108670406123400e-05 2.951809389172902802e-05 2.951342243328383878e-05
-1.937000000000000099e+01 4.462627751244522986e-06 4.462627751244522986e-06 4.463522022282167180e-06 4.462925841590404949e-06 2.959211912236232479e-05 2.959211912236232479e-05 2.959916483520799222e-05 2.959446769331088625e-05
-1.935999999999999943e+01 4.467698832804063404e-06 4.467698832804063404e-06 4.468597282678332749e-06 4.467998316095486519e-06 2.967191369635934034e-05 2.967191369635934034e-05 2.967899786221434255e-05 2.967427508497767893e-05
-1.935000000000000142e+01 4.472779031825332425e-06 4.472779031825332425e-06 4.473681154010573590e-06 4.473079739220413096e-06 2.975052553784501426e-05 2.975052553784501426e-05 2.975764809312592859e-05 2.975289972293865802e-05
-1.933999999999999986e+01 4.477867588519849206e-06 4.477867588519849206e-06 4.478774396067367158e-06 4.478169857702355473e-06 2.982800684191545823e-05 2.982800684191545823e-05 2.983516773119588756e-05 2.983039380500893467e-05
-1.932999999999999829e+01 4.482965769201743685e-06 4.482965769201743685e-06 4.483876249060234305e-06 4.483269262487907508e-06 2.990440706975257062e-05 2.990440706975257062e-05 2.991160624536125335e-05 2.990680679495546712e-05
-1.932000000000000028e+01 4.488072307556887619e-06 4.488072307556887619e-06 4.488987092883414604e-06 4.488377235999064128e-06 2.997977311855215768e-05 2.997977311855215768e-05 2.998701054019487254e-05 2.998218559243305924e-05
-1.930999999999999872e+01 4.493188090005170523e-06 4.493188090005170523e-06 4.494106674274084779e-06 4.493494284761475275e-06 3.005414947956603779e-05 3.005414947956603779e-05 3.006142511396931127e-05 3.005657469103378997e-05
-1.930000000000000071e+01 4.498312610020940761e-06 4.498312610020941608e-06 4.499235373126479321e-06 4.498620197722787513e-06 3.012757838515298857e-05 3.012757838515298857e-05 3.013489220572800585e-05 3.013001632534466890e-05
-1.928999999999999915e+01 4.503446374129849970e-06 4.503446374129849970e-06 4.504373189440600772e-06 4.503755312566767187e-06 3.020009994566484466e-05 3.020009994566485144e-05 3.020745193218979865e-05 3.020255060783983949e-05
-1.928000000000000114e+01 4.508589002437659423e-06 4.508589002437659423e-06 4.509519996585034528e-06 4.508899333820117791e-06 3.027175227693003508e-05 3.027175227693003508e-05 3.027914241525004639e-05 3.027421565637004224e-05
