energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-1.912000000000000099e+01 4.125592859264773783e-04 4.125591399407984292e-04 2.854144336111784320e-04 3.701776198261514674e-04 1.271447793224595260e-04 4.125592129336379580e-04 3.056305577781953621e-04 1.069286551554425959e-04 2.854144336111784320e-04 1.271447793224595260e-04
-1.910999999999999943e+01 4.129259085654679454e-04 4.129257624747369616e-04 2.856704345328173558e-04 3.705073685243407723e-04 1.272554009872851248e-04 4.129258355201025077e-04 3.059041476352478486e-04 1.070216878848546591e-04 2.856704345328173558e-04 1.272554009872851248e-04
-1.910000000000000142e+01 4.132930082086636904e-04 4.132928620127629816e-04 2.859267714311618290e-04 3.708375472175295365e-04 1.273661636795514528e-04 4.132929351107133089e-04 3.061780958924846486e-04 1.071148392182286467e-04 2.859267714311618290e-04 1.273661636795514528e-04
-1.908999999999999986e+01 4.136605905307011552e-04 4.136604442295115135e-04 2.861834482450543765e-04 3.711681610017556095e-04 1.274770691350519307e-04 4.136605173801063073e-04 3.064524067647407860e-04 1.072081106153655348e-04 2.861834482450543765e-04 1.274770691350519307e-04
-1.907999999999999829e+01 4.140286602087068103e-04 4.140285138021071844e-04 2.864404682238075469e-04 3.714992140782071624e-04 1.275881187815993962e-04 4.140285870054069431e-04 3.067270837283522875e-04 1.073015032770546963e-04 2.864404682238075469e-04 1.275881187815993962e-04
-1.907000000000000028e+01 4.143972211231268044e-04 4.143970746109946796e-04 2.866978340660369224e-04 3.718307099333860812e-04 1.276993138010237654e-04 4.143971478670607149e-04 3.070021296698465419e-04 1.073950181972141595e-04 2.866978340660369224e-04 1.276993138010237654e-04
-1.905999999999999872e+01 4.147662765203350105e-04 4.147661299025472755e-04 2.869555480320715255e-04 3.721626514849846580e-04 1.278106551793696446e-04 4.147662032114411701e-04 3.072775470063345482e-04 1.074886562051066355e-04 2.869555480320715255e-04 1.278106551793696446e-04
-1.905000000000000071e+01 4.151358092665249563e-04 4.151356625429646259e-04 2.872135982929948208e-04 3.724950233674948191e-04 1.279221376117500246e-04 4.151357359047448182e-04 3.075533230654183990e-04 1.075824128393264192e-04 2.872135982929948208e-04 1.279221376117500246e-04
-1.903999999999999915e+01 4.155058463250512596e-04 4.155056994955913735e-04 2.874720035052614445e-04 3.728278497753013412e-04 1.280337694050598179e-04 4.155057729103212353e-04 3.078294778243558980e-04 1.076762950859653373e-04 2.874720035052614445e-04 1.280337694050598179e-04
-1.903000000000000114e+01 4.158763886275928081e-04 4.158762416921067857e-04 2.877307643291950262e-04 3.731611315496315942e-04 1.281455508306547978e-04 4.158763151598498511e-04 3.081060119866163918e-04 1.077703031732334593e-04 2.877307643291950262e-04 1.281455508306547978e-04
-1.901999999999999957e+01 4.162474371080044830e-04 4.162472900663649307e-04 2.879898814266703094e-04 3.734948695336798535e-04 1.282574821605143975e-04 4.162473635871846798e-04 3.083829262573194369e-04 1.078644373298652157e-04 2.879898814266703094e-04 1.282574821605143975e-04
-1.901000000000000156e+01 4.166189927023220929e-04 4.166188455544017795e-04 2.882493554611182470e-04 3.738290645726140217e-04 1.283695636672436621e-04 4.166189191283619091e-04 3.086602213432407087e-04 1.079586977851211869e-04 2.882493554611182470e-04 1.283695636672436621e-04
-1.900000000000000000e+01 4.169910563487684444e-04 4.169909090944399219e-04 2.885091870975303383e-04 3.741637175135795320e-04 1.284817956240738449e-04 4.169909827216041831e-04 3.089378979528155248e-04 1.080530847687886448e-04 2.885091870975303383e-04 1.284817956240738449e-04
-1.898999999999999844e+01 4.173636289877605526e-04 4.173634816268962646e-04 2.887693770024629659e-04 3.744988292057065582e-04 1.285941783048654698e-04 4.173635553073284086e-04 3.092159567961443208e-04 1.081475985111841150e-04 2.887693770024629659e-04 1.285941783048654698e-04
-1.898000000000000043e+01 4.177367115619156040e-04 4.177365640943871811e-04 2.890299258440417324e-04 3.748344005001148392e-04 1.287067119841096873e-04 4.177366378281513926e-04 3.094943985849969866e-04 1.082422392431544060e-04 2.890299258440417324e-04 1.287067119841096873e-04
-1.896999999999999886e+01 4.181103050160562152e-04 4.181101574417355588e-04 2.892908342919667188e-04 3.751704322499194795e-04 1.288193969369291411e-04 4.181102312288958599e-04 3.097732240328184504e-04 1.083370071960774230e-04 2.892908342919667188e-04 1.288193969369291411e-04
